feature_name,mean_abs_shap,native_gain,shap_share_pct,gain_share_pct,is_engineered
V67,0.012322291771216121,14205.01351737976,0.2014317166669563,0.1376568269513227,false
id_01,0.011490489455751362,40254.31484377384,0.18783429733600016,0.39009334596645806,false
V53,0.011396071021946686,28765.045413970947,0.18629084522827558,0.2787540380692534,false
V54,0.010601976276960521,17809.47949409485,0.17330982914387996,0.17258670213951074,false
V37,0.010412353465732785,9296.11216545105,0.17021007715829234,0.09008603209802703,false
id_13,0.010165210885434497,6917.940908908844,0.1661700531809935,0.06703983726534328,false
V29,0.010076473365828393,6169.294565200806,0.16471946661488257,0.059784914201914376,false
V280,0.009613487242230698,19745.870389938354,0.1571510620193096,0.19135172662421923,false
fe_inter_amt_x_prod_c,0.00949365353415133,6296.026885032654,0.1551921480460681,0.06101304179214073,true
V169,0.009429279611625024,3044.4685754776,0.15413983164553055,0.02950309644834221,false
id_05,0.009387492826305783,11204.13108575344,0.15345674573447382,0.10857611167525254,false
V82,0.009379222339964069,18608.57011795044,0.1533215486224095,0.180330466662644,false
V49,0.009353272259801043,7146.050818443298,0.15289734431918942,0.06925038682267017,false
card4,0.009005517214396871,18249.27887916565,0.14721261480004377,0.17684867540478905,false
id_19,0.008987992576615157,19362.785444140434,0.14692614066537157,0.18763935718318767,false
V314,0.008860870732139965,24955.804792881012,0.14484808799189716,0.24183974887468387,false
V56,0.0087402768464249,6405.566505074501,0.14287674744339082,0.062074559720438745,false
V224,0.00856915104083998,5263.6759214401245,0.14007936482780417,0.05100881632805251,false
C3,0.008349892910507879,5134.135402679443,0.1364951661733664,0.04975347526467329,false
V133,0.008111182961709424,12200.320293426514,0.13259298988467685,0.11822990364128247,false
V83,0.008107376323960835,23319.843461990356,0.13253076302049738,0.22598610357192242,false
V243,0.008008242123628146,17312.488706111908,0.13091022257849413,0.16777050292829107,false
V315,0.00788282467148604,24967.67506980896,0.12886003149764402,0.2419547804200559,false
V24,0.007854060472337707,4670.7999839782715,0.12838982497108428,0.04526342085715514,false
V36,0.007635161979354475,11378.855138778687,0.12481150528542158,0.11026931377619403,false
V291,0.007464105284906791,4452.544429779053,0.12201525242518181,0.043148367110898034,false
V152,0.007445682717532561,5781.69532585144,0.12171409989280368,0.05602879800024378,false
V335,0.007290950271729011,9147.451152801514,0.11918469848266247,0.08864539965739839,false
V336,0.007222376361178397,6868.397981643677,0.11806372514610809,0.06655973056520822,false
V76,0.007047293538387876,13408.790542602539,0.11520165742296162,0.12994085201617225,false
fe_amt_is_round,0.006989677293624467,3370.5197830200195,0.11425980834926033,0.03266276782767756,true
fe_miss_d_count,0.006875297754954659,12628.480777740479,0.11239005333504674,0.12237908756317667,true
fe_dev_browser_family,0.006654871673235318,10426.433421134949,0.10878676225386862,0.10103966035770512,true
V225,0.006582775796124554,6755.90661239624,0.10760821555487272,0.06546960805803387,false
V313,0.006569751363464279,24354.114200353622,0.10739530598593192,0.23600893303825798,false
V99,0.006450439379919775,7002.770652770996,0.10544492061034386,0.06786189867041481,false
id_09,0.006449798165975097,10627.965281963348,0.10543443872693893,0.1029926494525265,false
id_18,0.006410084600366257,8723.191394805908,0.10478524360608968,0.08453401658709322,false
V131,0.006392403811913716,6042.580176353455,0.10449621688637346,0.05855696037586128,false
V102,0.006386600194943,18159.08655643463,0.1044013455303795,0.17597464674249097,false
V266,0.006303792566473084,4246.685005187988,0.1030476945159815,0.041153440801777685,false
V75,0.006192181205427989,11193.231225013733,0.10122319072461979,0.10847048416269835,false
V282,0.006090886445936472,9047.649241447449,0.09956733176002322,0.08767824715002,false
fe_lag_amt_1,0.005944594435437561,11570.13577479124,0.09717590560679007,0.11212296110841961,true
id_33,0.005875107117615155,9130.772546052933,0.09604000085989506,0.08848377192785278,false
D14,0.005868927201804196,7999.429847002029,0.09593897817079054,0.07752024514518911,false
V86,0.005796903085731301,6053.01375579834,0.09476160454489795,0.0586580692863435,false
